time,vram_used_mb,vram_total_mb,ram_used_mb,ram_total_mb,gpu_util,cpu_util,power_watts
0.00013113021850585938,16374.625,46068.0,9331.328125,515640.5625,0.0,0.0,98.625
0.10224747657775879,16442.625,46068.0,9402.42578125,515640.5625,0.0,146.9,98.106
0.20395231246948242,16698.625,46068.0,9464.90234375,515640.5625,0.0,98.3,97.594
0.30445075035095215,16964.625,46068.0,9625.57421875,515640.5625,0.0,109.5,97.149
0.4049360752105713,16974.625,46068.0,9766.83203125,515640.5625,9.0,99.5,98.622
0.5053534507751465,16976.625,46068.0,9931.22265625,515640.5625,9.0,99.6,100.052
0.605828046798706,19286.625,46068.0,10010.0546875,515640.5625,20.0,99.5,100.163
0.706329345703125,20774.625,46068.0,10097.28125,515640.5625,20.0,99.5,119.646
0.8067371845245361,20774.625,46068.0,10100.6953125,515640.5625,71.0,169.3,133.182
0.9165420532226562,20778.625,46068.0,10098.26171875,515640.5625,71.0,100.1,161.971
1.0186131000518799,20832.625,46068.0,10099.0,515640.5625,93.0,147.0,178.159
1.14265775680542,20832.625,46068.0,10099.0,515640.5625,93.0,120.9,199.455
1.244788646697998,20832.625,46068.0,10099.0,515640.5625,95.0,146.9,219.596
1.3691794872283936,20832.625,46068.0,10102.69140625,515640.5625,96.0,136.6,254.231
1.4699058532714844,20832.625,46068.0,10133.9453125,515640.5625,96.0,99.3,275.162
1.5705440044403076,17684.625,46068.0,10185.6015625,515640.5625,72.0,109.3,293.792
1.671152114868164,18164.625,46068.0,10188.4765625,515640.5625,72.0,169.0,295.684
1.771841287612915,20768.625,46068.0,10190.03125,515640.5625,97.0,99.3,299.067
1.8724510669708252,20768.625,46068.0,10193.72265625,515640.5625,97.0,188.9,306.344
1.9730572700500488,20852.625,46068.0,10193.96875,515640.5625,95.0,99.4,301.075
2.0736262798309326,20852.625,46068.0,10197.66015625,515640.5625,95.0,189.0,299.619
2.1829731464385986,20852.625,46068.0,10197.90625,515640.5625,95.0,100.5,290.831
2.288785696029663,20852.625,46068.0,10199.58984375,515640.5625,96.0,160.7,291.558
2.409701347351074,20852.625,46068.0,10201.44921875,515640.5625,95.0,115.7,294.789
2.510366916656494,20684.625,46068.0,10193.79296875,515640.5625,95.0,109.3,302.814
2.6137895584106445,17078.625,46068.0,10193.515625,515640.5625,94.0,154.7,301.561
2.7335283756256104,20738.625,46068.0,10190.73046875,515640.5625,94.0,125.3,282.983
2.83579683303833,20794.625,46068.0,10190.73046875,515640.5625,95.0,156.4,303.287
2.9620001316070557,20796.625,46068.0,10189.69140625,515640.5625,95.0,134.7,295.738
3.0637826919555664,20850.625,46068.0,10191.4140625,515640.5625,96.0,157.3,297.119
3.1888155937194824,20850.625,46068.0,10190.125,515640.5625,95.0,119.9,299.223
3.2900054454803467,20850.625,46068.0,10190.125,515640.5625,95.0,148.3,304.64
3.417315721511841,20850.625,46068.0,10190.015625,515640.5625,95.0,133.5,300.739
3.5180490016937256,20448.625,46068.0,10189.76953125,515640.5625,95.0,99.3,300.059
3.618495225906372,17096.625,46068.0,10189.71875,515640.5625,97.0,199.1,300.431
3.7331790924072266,20760.625,46068.0,10191.7890625,515640.5625,97.0,95.9,304.355
3.834045886993408,20816.625,46068.0,10191.7890625,515640.5625,96.0,158.7,302.461
3.960239887237549,20818.625,46068.0,10191.7890625,515640.5625,96.0,126.7,304.4
4.062791585922241,20818.625,46068.0,10191.7890625,515640.5625,96.0,156.1,295.749
4.187932968139648,20818.625,46068.0,10187.60546875,515640.5625,95.0,127.8,305.392
4.291787624359131,20818.625,46068.0,10187.60546875,515640.5625,95.0,163.7,303.288
4.416093587875366,20818.625,46068.0,10191.296875,515640.5625,95.0,136.7,303.286
4.516793727874756,20488.625,46068.0,10191.296875,515640.5625,95.0,99.3,303.026
4.6172239780426025,17096.625,46068.0,10192.9921875,515640.5625,96.0,189.2,282.799
4.734508514404297,20770.625,46068.0,10195.15625,515640.5625,96.0,102.3,303.458
4.836788177490234,20826.625,46068.0,10195.15625,515640.5625,96.0,166.2,301.264
4.962423324584961,20828.625,46068.0,10195.15625,515640.5625,96.0,127.3,295.906
5.064794540405273,20828.625,46068.0,10196.87890625,515640.5625,96.0,166.1,303.667
5.190357685089111,20828.625,46068.0,10196.87890625,515640.5625,95.0,135.4,308.189
5.2947869300842285,20828.625,46068.0,10198.6015625,515640.5625,95.0,153.3,305.958
5.420449495315552,20828.625,46068.0,10193.70703125,515640.5625,94.0,127.3,305.74
5.521205425262451,20432.625,46068.0,10185.83203125,515640.5625,94.0,109.2,305.131
5.621634483337402,17096.625,46068.0,10187.79296875,515640.5625,97.0,209.1,285.237
5.736403703689575,20758.625,46068.0,10189.2578125,515640.5625,97.0,95.8,306.633
5.837642192840576,20814.625,46068.0,10189.2578125,515640.5625,96.0,148.2,305.489
5.964877367019653,20816.625,46068.0,10189.2578125,515640.5625,96.0,141.4,302.253
6.069855690002441,20816.625,46068.0,10192.94921875,515640.5625,96.0,171.4,308.88
6.194295406341553,20816.625,46068.0,10192.94921875,515640.5625,95.0,128.6,316.217
6.297261953353882,20816.625,46068.0,10192.94921875,515640.5625,95.0,165.2,314.18
6.42012095451355,20816.625,46068.0,10193.1953125,515640.5625,96.0,130.2,313.374
6.520723819732666,20414.625,46068.0,10192.375,515640.5625,96.0,99.4,311.822
6.621072292327881,17078.625,46068.0,10187.3515625,515640.5625,96.0,189.3,294.548
6.734070062637329,20738.625,46068.0,10189.578125,515640.5625,97.0,97.3,314.867
6.838781833648682,20794.625,46068.0,10189.578125,515640.5625,97.0,172.0,311.892
6.96210789680481,20796.625,46068.0,10190.04296875,515640.5625,97.0,121.6,304.886
7.067148685455322,20850.625,46068.0,10190.00390625,515640.5625,96.0,161.9,310.756
7.190496921539307,20850.625,46068.0,10190.00390625,515640.5625,96.0,137.8,305.3
7.29378604888916,20850.625,46068.0,10189.89453125,515640.5625,95.0,155.0,307.929
7.417741298675537,20850.625,46068.0,10189.6484375,515640.5625,95.0,121.0,305.936
7.5183632373809814,20466.625,46068.0,10189.6484375,515640.5625,95.0,109.4,305.52
7.618686199188232,17096.625,46068.0,10186.484375,515640.5625,95.0,199.4,306.285
7.734151840209961,20760.625,46068.0,10188.53125,515640.5625,97.0,103.9,286.815
7.837337493896484,20816.625,46068.0,10188.765625,515640.5625,97.0,164.8,308.262
7.962060213088989,20818.625,46068.0,10188.765625,515640.5625,96.0,128.2,306.412
8.063236713409424,20818.625,46068.0,10188.765625,515640.5625,96.0,148.3,310.541
8.186688899993896,20818.625,46068.0,10188.765625,515640.5625,97.0,129.5,311.209
8.287725925445557,20818.625,46068.0,10188.765625,515640.5625,97.0,158.4,309.215
8.4122953414917,20818.625,46068.0,10188.765625,515640.5625,97.0,120.4,308.393
8.512975931167603,20542.625,46068.0,10188.765625,515640.5625,96.0,99.4,308.18
8.613294839859009,17096.625,46068.0,10186.9921875,515640.5625,96.0,199.4,288.176
8.732206344604492,20770.625,46068.0,10188.9609375,515640.5625,95.0,117.7,308.786
8.833460330963135,20826.625,46068.0,10192.65234375,515640.5625,95.0,158.1,305.258
8.957269668579102,20828.625,46068.0,10192.65234375,515640.5625,95.0,121.1,300.372
9.058799266815186,20828.625,46068.0,10192.65234375,515640.5625,95.0,157.7,307.948
9.18181037902832,20828.625,46068.0,10192.65234375,515640.5625,97.0,121.9,306.262
9.283488512039185,20828.625,46068.0,10192.65234375,515640.5625,97.0,157.4,304.6
9.405439615249634,20828.625,46068.0,10192.65234375,515640.5625,97.0,123.0,303.152
9.50607967376709,20432.625,46068.0,10192.65234375,515640.5625,97.0,99.4,305.897
9.608662843704224,17096.625,46068.0,10186.29296875,515640.5625,97.0,185.2,286.389
9.721166849136353,20758.625,46068.0,10188.15234375,515640.5625,95.0,97.7,307.188
9.822327136993408,20814.625,46068.0,10188.37109375,515640.5625,95.0,158.2,305.625
9.945646286010742,20816.625,46068.0,10188.37109375,515640.5625,97.0,121.6,304.449
10.047631978988647,20816.625,46068.0,10188.37109375,515640.5625,97.0,166.8,309.23
10.170821189880371,20816.625,46068.0,10188.37109375,515640.5625,97.0,121.7,302.336
10.272154808044434,20816.625,46068.0,10188.37109375,515640.5625,97.0,158.0,310.811
10.395093441009521,20816.625,46068.0,10188.37109375,515640.5625,98.0,122.0,310.811
10.495727062225342,20378.625,46068.0,10188.37109375,515640.5625,98.0,109.3,310.434
10.596231698989868,17078.625,46068.0,10188.28125,515640.5625,97.0,179.2,291.083
10.709870338439941,20738.625,46068.0,10192.109375,515640.5625,96.0,105.6,311.93
10.812781572341919,20794.625,46068.0,10195.5234375,515640.5625,96.0,155.5,310.84
10.936726331710815,20796.625,46068.0,10194.046875,515640.5625,97.0,129.1,310.742
11.039782524108887,20850.625,46068.0,10197.73828125,515640.5625,97.0,165.0,312.464
11.16344952583313,20850.625,46068.0,10197.73828125,515640.5625,95.0,121.3,308.039
11.265783071517944,20850.625,46068.0,10199.21484375,515640.5625,95.0,166.2,315.958
11.390033483505249,20850.625,46068.0,10201.18359375,515640.5625,96.0,136.8,315.083
11.490864276885986,20412.625,46068.0,10195.4140625,515640.5625,96.0,99.2,312.809
11.591439723968506,17096.625,46068.0,10196.22265625,515640.5625,95.0,198.9,292.891
11.709679126739502,20760.625,46068.0,10193.73828125,515640.5625,95.0,109.9,313.169
11.81181263923645,20816.625,46068.0,10197.4296875,515640.5625,95.0,166.5,311.878
11.934394836425781,20818.625,46068.0,10197.67578125,515640.5625,96.0,122.3,310.746
12.035787105560303,20818.625,46068.0,10197.67578125,515640.5625,96.0,157.8,311.422
12.159055233001709,20818.625,46068.0,10197.67578125,515640.5625,97.0,121.7,305.865
12.261959791183472,20818.625,46068.0,10196.69140625,515640.5625,97.0,155.5,312.953
12.384948015213013,20818.625,46068.0,10196.3828125,515640.5625,98.0,130.0,307.18
12.48559308052063,20380.625,46068.0,10196.3828125,515640.5625,98.0,89.4,310.528
