time,vram_used_mb,vram_total_mb,ram_used_mb,ram_total_mb,gpu_util,cpu_util,power_watts
0.00015282630920410156,10902.625,46068.0,9308.30078125,515640.5625,0.0,0.0,97.525
0.1015627384185791,10970.625,46068.0,9392.7421875,515640.5625,0.0,138.0,97.119
0.20239019393920898,11486.625,46068.0,9492.796875,515640.5625,0.0,99.2,96.69
0.30298495292663574,11492.625,46068.0,9670.96875,515640.5625,0.0,99.4,99.482
0.4072587490081787,11504.625,46068.0,9795.4921875,515640.5625,0.0,105.5,101.429
0.5077025890350342,11660.625,46068.0,9928.109375,515640.5625,10.0,99.5,101.539
0.6081438064575195,18126.625,46068.0,9991.62890625,515640.5625,10.0,99.6,123.401
0.7086422443389893,18242.625,46068.0,10062.01171875,515640.5625,20.0,99.5,145.348
0.8090777397155762,18242.625,46068.0,10062.01171875,515640.5625,20.0,99.5,164.522
0.9095983505249023,18242.625,46068.0,10062.2578125,515640.5625,72.0,159.2,186.57
1.0101442337036133,18244.625,46068.0,10062.01171875,515640.5625,72.0,99.5,207.388
1.1105425357818604,18244.625,46068.0,10062.23046875,515640.5625,95.0,99.6,226.64
1.2109708786010742,18244.625,46068.0,10062.05859375,515640.5625,95.0,159.3,247.619
1.3133139610290527,18244.625,46068.0,10062.05859375,515640.5625,99.0,107.5,266.816
1.4138884544372559,18244.625,46068.0,10062.05859375,515640.5625,99.0,99.4,281.771
1.514354944229126,18244.625,46068.0,10062.796875,515640.5625,94.0,189.2,300.459
1.6296532154083252,18244.625,46068.0,10063.04296875,515640.5625,94.0,104.0,322.069
1.7303011417388916,18244.625,46068.0,10063.04296875,515640.5625,97.0,89.4,322.135
1.830810546875,15994.625,46068.0,10102.41796875,515640.5625,97.0,99.5,320.786
1.9312198162078857,11648.625,46068.0,10086.390625,515640.5625,98.0,189.3,303.954
2.0698740482330322,18198.625,46068.0,10079.6328125,515640.5625,98.0,101.0,291.383
2.1704235076904297,18198.625,46068.0,10080.0859375,515640.5625,90.0,109.4,295.313
2.2708487510681152,18198.625,46068.0,10084.0234375,515640.5625,90.0,169.3,295.831
2.383058547973633,18200.625,46068.0,10084.0234375,515640.5625,98.0,98.0,295.506
2.48364520072937,18308.625,46068.0,10084.0234375,515640.5625,98.0,99.4,298.537
