time,vram_used_mb,vram_total_mb,ram_used_mb,ram_total_mb,gpu_util,cpu_util,power_watts
0.00013875961303710938,16426.625,46068.0,10265.890625,515640.5625,0.0,0.0,102.642
0.14792966842651367,17006.625,46068.0,10321.77734375,515640.5625,0.0,121.8,102.148
0.27478933334350586,20638.625,46068.0,10337.03515625,515640.5625,0.0,102.5,113.915
0.37682414054870605,20692.625,46068.0,10338.25390625,515640.5625,0.0,137.2,135.64
0.5048515796661377,20698.625,46068.0,10338.25390625,515640.5625,61.0,125.0,153.505
0.6061496734619141,20700.625,46068.0,10338.25390625,515640.5625,61.0,148.1,170.36
0.7319321632385254,20700.625,46068.0,10335.14453125,515640.5625,94.0,119.2,212.277
0.8324398994445801,20700.625,46068.0,10335.87890625,515640.5625,95.0,149.3,233.455
0.9573030471801758,20700.625,46068.0,10336.86328125,515640.5625,95.0,120.1,252.415
1.058051347732544,20310.625,46068.0,10337.84765625,515640.5625,97.0,99.2,271.482
1.1586153507232666,17044.625,46068.0,10330.5546875,515640.5625,97.0,179.1,276.655
1.26594877243042,20642.625,46068.0,10332.1953125,515640.5625,97.0,111.8,294.866
1.3691222667694092,20726.625,46068.0,10337.0625,515640.5625,97.0,164.8,303.88
1.492185115814209,20732.625,46068.0,10332.328125,515640.5625,96.0,113.7,296.973
1.5929129123687744,20732.625,46068.0,10336.265625,515640.5625,96.0,149.0,308.258
1.7189674377441406,20732.625,46068.0,10332.87890625,515640.5625,97.0,126.9,308.594
1.8202645778656006,20732.625,46068.0,10336.32421875,515640.5625,97.0,158.0,309.074
1.9456686973571777,20732.625,46068.0,10336.078125,515640.5625,96.0,119.6,306.982
2.046466112136841,20348.625,46068.0,10336.078125,515640.5625,97.0,99.2,309.538
2.1469969749450684,17044.625,46068.0,10333.8359375,515640.5625,97.0,199.0,296.451
2.2594571113586426,20642.625,46068.0,10336.3046875,515640.5625,96.0,106.7,312.374
2.3631246089935303,20726.625,46068.0,10336.5234375,515640.5625,96.0,173.7,312.078
2.485344886779785,20732.625,46068.0,10336.5234375,515640.5625,96.0,106.3,304.597
2.589127779006958,20732.625,46068.0,10336.03125,515640.5625,96.0,183.2,312.032
2.710404396057129,20732.625,46068.0,10335.8828125,515640.5625,98.0,107.2,309.643
2.8122313022613525,20732.625,46068.0,10335.390625,515640.5625,98.0,167.0,311.858
2.936150550842285,20732.625,46068.0,10335.1640625,515640.5625,96.0,121.0,308.35
3.036741256713867,20348.625,46068.0,10335.1640625,515640.5625,96.0,99.4,310.216
3.137115240097046,17044.625,46068.0,10333.1640625,515640.5625,96.0,179.4,289.939
3.248971700668335,20642.625,46068.0,10334.5234375,515640.5625,97.0,107.3,307.132
3.351077079772949,20726.625,46068.0,10334.9609375,515640.5625,97.0,156.7,305.659
3.4773809909820557,20732.625,46068.0,10334.9609375,515640.5625,97.0,134.6,303.559
3.5790133476257324,20732.625,46068.0,10333.703125,515640.5625,97.0,157.5,311.64
3.702915906906128,20732.625,46068.0,10333.41796875,515640.5625,96.0,129.1,309.05
3.8035295009613037,20732.625,46068.0,10333.16796875,515640.5625,96.0,149.1,312.211
3.9277400970458984,20732.625,46068.0,10332.921875,515640.5625,96.0,128.8,310.913
4.028339385986328,20312.625,46068.0,10332.67578125,515640.5625,96.0,99.4,312.36
4.128728866577148,17044.625,46068.0,10327.73828125,515640.5625,96.0,189.3,293.141
4.239502668380737,20642.625,46068.0,10328.9140625,515640.5625,96.0,99.3,313.561
4.341715097427368,20726.625,46068.0,10324.71875,515640.5625,96.0,156.6,310.659
4.466723442077637,20732.625,46068.0,10324.71875,515640.5625,97.0,128.0,307.114
4.567765712738037,20732.625,46068.0,10324.2265625,515640.5625,97.0,158.4,313.112
4.691877365112305,20732.625,46068.0,10324.0078125,515640.5625,96.0,120.8,306.352
4.794212818145752,20732.625,46068.0,10324.2421875,515640.5625,96.0,166.2,309.539
4.91839599609375,20732.625,46068.0,10324.2421875,515640.5625,98.0,120.8,307.233
5.018979787826538,20348.625,46068.0,10324.2421875,515640.5625,98.0,99.4,308.298
5.119366884231567,17044.625,46068.0,10322.23828125,515640.5625,96.0,189.3,308.203
5.231241703033447,20642.625,46068.0,10324.16015625,515640.5625,96.0,107.2,309.437
5.3338189125061035,20726.625,46068.0,10324.37890625,515640.5625,97.0,146.3,308.272
5.4576194286346436,20732.625,46068.0,10324.37890625,515640.5625,97.0,121.1,307.242
5.560549736022949,20732.625,46068.0,10324.37890625,515640.5625,97.0,174.9,310.114
5.684208869934082,20732.625,46068.0,10324.34375,515640.5625,96.0,121.3,303.026
5.786137580871582,20732.625,46068.0,10324.34375,515640.5625,96.0,157.0,310.854
5.910387754440308,20732.625,46068.0,10324.34375,515640.5625,98.0,120.7,308.554
6.010956525802612,20348.625,46068.0,10324.34375,515640.5625,98.0,99.5,310.114
6.111334800720215,17044.625,46068.0,10326.03515625,515640.5625,96.0,189.3,308.985
6.222534418106079,20642.625,46068.0,10327.95703125,515640.5625,96.0,98.9,289.155
6.3250017166137695,20726.625,46068.0,10328.19921875,515640.5625,97.0,146.4,309.903
