Job ID : 14826
Node   : ensta-l40s02
GPU    : NVIDIA L40S
Date   : mer. 18 mars 2026 00:15:02 CET
============================================================
QLORA CROSS-ATTENTION ONLY - RANK 16
============================================================

[1/5] Loading quantized model...

[2/5] Configuring QLoRA (rank=16)...
trainable params: 983,040 || all params: 3,876,527,616 || trainable%: 0.0254

[3/5] Loading dataset...
Loaded 400 samples from data/train.json
Loaded 50 samples from data/val.json
  Train: 400 | Val: 50

[4/5] Setting up 8-bit optimizer...

[5/5] Training...
  Epoch 7 - Batch 70 - GPU: 9.61GB
  Epoch 7 - Batch 80 - GPU: 9.61GB
  Epoch 7 - Batch 90 - GPU: 9.61GB
  Epoch 7 - Batch 100 - GPU: 9.61GB
  Epoch 7 - Batch 110 - GPU: 9.61GB
  Epoch 7 - Batch 120 - GPU: 9.61GB
  Epoch 7 - Batch 130 - GPU: 9.61GB
  Epoch 7 - Batch 140 - GPU: 9.61GB
  Epoch 7 - Batch 150 - GPU: 9.61GB
  Epoch 7 - Batch 160 - GPU: 9.61GB
  Epoch 7 - Batch 170 - GPU: 9.61GB
  Epoch 7 - Batch 180 - GPU: 9.61GB
  Epoch 7 - Batch 190 - GPU: 9.61GB
  Epoch 7 - Batch 200 - GPU: 9.61GB
  Epoch 7 - Batch 210 - GPU: 9.61GB
  Epoch 7 - Batch 220 - GPU: 9.61GB
  Epoch 7 - Batch 230 - GPU: 9.61GB
  Epoch 7 - Batch 240 - GPU: 9.61GB
  Epoch 7 - Batch 250 - GPU: 9.61GB
  Epoch 7 - Batch 260 - GPU: 9.61GB
  Epoch 7 - Batch 270 - GPU: 9.61GB
  Epoch 7 - Batch 280 - GPU: 9.61GB
  Epoch 7 - Batch 290 - GPU: 9.61GB
  Epoch 7 - Batch 300 - GPU: 9.61GB
  Epoch 7 - Batch 310 - GPU: 9.61GB
  Epoch 7 - Batch 320 - GPU: 9.61GB
  Epoch 7 - Batch 330 - GPU: 9.61GB
  Epoch 7 - Batch 340 - GPU: 9.61GB
  Epoch 7 - Batch 350 - GPU: 9.61GB
  Epoch 7 - Batch 360 - GPU: 9.61GB
  Epoch 7 - Batch 370 - GPU: 9.61GB
  Epoch 7 - Batch 380 - GPU: 9.61GB
  Epoch 7 - Batch 390 - GPU: 9.61GB
  Epoch 7 - Batch 400 - GPU: 9.61GB
  → Best model saved (val_loss=0.8208)
  Epoch 8 - Batch 10 - GPU: 9.61GB
  Epoch 8 - Batch 20 - GPU: 9.61GB
  Epoch 8 - Batch 30 - GPU: 9.61GB
  Epoch 8 - Batch 40 - GPU: 9.61GB
  Epoch 8 - Batch 50 - GPU: 9.61GB
  Epoch 8 - Batch 60 - GPU: 9.61GB
  Epoch 8 - Batch 70 - GPU: 9.61GB
  Epoch 8 - Batch 80 - GPU: 9.61GB
  Epoch 8 - Batch 90 - GPU: 9.61GB
  Epoch 8 - Batch 100 - GPU: 9.61GB
  Epoch 8 - Batch 110 - GPU: 9.61GB
  Epoch 8 - Batch 120 - GPU: 9.61GB
  Epoch 8 - Batch 130 - GPU: 9.61GB
  Epoch 8 - Batch 140 - GPU: 9.61GB
  Epoch 8 - Batch 150 - GPU: 9.61GB
  Epoch 8 - Batch 160 - GPU: 9.61GB
  Epoch 8 - Batch 170 - GPU: 9.61GB
  Epoch 8 - Batch 180 - GPU: 9.61GB
  Epoch 8 - Batch 190 - GPU: 9.61GB
  Epoch 8 - Batch 200 - GPU: 9.61GB
  Epoch 8 - Batch 210 - GPU: 9.61GB
  Epoch 8 - Batch 220 - GPU: 9.61GB
  Epoch 8 - Batch 230 - GPU: 9.61GB
  Epoch 8 - Batch 240 - GPU: 9.61GB
  Epoch 8 - Batch 250 - GPU: 9.61GB
  Epoch 8 - Batch 260 - GPU: 9.61GB
  Epoch 8 - Batch 270 - GPU: 9.61GB
  Epoch 8 - Batch 280 - GPU: 9.61GB
  Epoch 8 - Batch 290 - GPU: 9.61GB
  Epoch 8 - Batch 300 - GPU: 9.61GB
  Epoch 8 - Batch 310 - GPU: 9.61GB
  Epoch 8 - Batch 320 - GPU: 9.61GB
  Epoch 8 - Batch 330 - GPU: 9.61GB
  Epoch 8 - Batch 340 - GPU: 9.61GB
  Epoch 8 - Batch 350 - GPU: 9.61GB
  Epoch 8 - Batch 360 - GPU: 9.61GB
  Epoch 8 - Batch 370 - GPU: 9.61GB
  Epoch 8 - Batch 380 - GPU: 9.61GB
  Epoch 8 - Batch 390 - GPU: 9.61GB
  Epoch 8 - Batch 400 - GPU: 9.61GB
  Epoch 9 - Batch 10 - GPU: 9.61GB
  Epoch 9 - Batch 20 - GPU: 9.61GB
  Epoch 9 - Batch 30 - GPU: 9.61GB
  Epoch 9 - Batch 40 - GPU: 9.61GB
  Epoch 9 - Batch 50 - GPU: 9.61GB
  Epoch 9 - Batch 60 - GPU: 9.61GB
  Epoch 9 - Batch 70 - GPU: 9.61GB
  Epoch 9 - Batch 80 - GPU: 9.61GB
  Epoch 9 - Batch 90 - GPU: 9.61GB
  Epoch 9 - Batch 100 - GPU: 9.61GB
  Epoch 9 - Batch 110 - GPU: 9.61GB
  Epoch 9 - Batch 120 - GPU: 9.61GB
  Epoch 9 - Batch 130 - GPU: 9.61GB
  Epoch 9 - Batch 140 - GPU: 9.61GB
  Epoch 9 - Batch 150 - GPU: 9.61GB
  Epoch 9 - Batch 160 - GPU: 9.61GB
  Epoch 9 - Batch 170 - GPU: 9.61GB
  Epoch 9 - Batch 180 - GPU: 9.61GB
  Epoch 9 - Batch 190 - GPU: 9.61GB
  Epoch 9 - Batch 200 - GPU: 9.61GB
  Epoch 9 - Batch 210 - GPU: 9.61GB
  Epoch 9 - Batch 220 - GPU: 9.61GB
  Epoch 9 - Batch 230 - GPU: 9.61GB
  Epoch 9 - Batch 240 - GPU: 9.61GB
  Epoch 9 - Batch 250 - GPU: 9.61GB
  Epoch 9 - Batch 260 - GPU: 9.61GB
  Epoch 9 - Batch 270 - GPU: 9.61GB
  Epoch 9 - Batch 280 - GPU: 9.61GB
  Epoch 9 - Batch 290 - GPU: 9.61GB
  Epoch 9 - Batch 300 - GPU: 9.61GB
  Epoch 9 - Batch 310 - GPU: 9.61GB
  Epoch 9 - Batch 320 - GPU: 9.61GB
  Epoch 9 - Batch 330 - GPU: 9.61GB
  Epoch 9 - Batch 340 - GPU: 9.61GB
  Epoch 9 - Batch 350 - GPU: 9.61GB
  Epoch 9 - Batch 360 - GPU: 9.61GB
  Epoch 9 - Batch 370 - GPU: 9.61GB
  Epoch 9 - Batch 380 - GPU: 9.61GB
  Epoch 9 - Batch 390 - GPU: 9.61GB
  Epoch 9 - Batch 400 - GPU: 9.61GB
Epoch 9/15 - train_loss: 0.8713 | val_loss: 0.8378
  Epoch 10 - Batch 10 - GPU: 9.61GB
  Epoch 10 - Batch 20 - GPU: 9.61GB
  Epoch 10 - Batch 30 - GPU: 9.61GB
  Epoch 10 - Batch 40 - GPU: 9.61GB
  Epoch 10 - Batch 50 - GPU: 9.61GB
  Epoch 10 - Batch 60 - GPU: 9.61GB
  Epoch 10 - Batch 70 - GPU: 9.61GB
  Epoch 10 - Batch 80 - GPU: 9.61GB
  Epoch 10 - Batch 90 - GPU: 9.61GB
  Epoch 10 - Batch 100 - GPU: 9.61GB
  Epoch 10 - Batch 110 - GPU: 9.61GB
  Epoch 10 - Batch 120 - GPU: 9.61GB
  Epoch 10 - Batch 130 - GPU: 9.61GB
  Epoch 10 - Batch 140 - GPU: 9.61GB
  Epoch 10 - Batch 150 - GPU: 9.61GB
  Epoch 10 - Batch 160 - GPU: 9.61GB
  Epoch 10 - Batch 170 - GPU: 9.61GB
  Epoch 10 - Batch 180 - GPU: 9.61GB
  Epoch 10 - Batch 190 - GPU: 9.61GB
  Epoch 10 - Batch 200 - GPU: 9.61GB
  Epoch 10 - Batch 210 - GPU: 9.61GB
  Epoch 10 - Batch 220 - GPU: 9.61GB
  Epoch 10 - Batch 230 - GPU: 9.61GB
  Epoch 10 - Batch 240 - GPU: 9.61GB
  Epoch 10 - Batch 250 - GPU: 9.61GB
  Epoch 10 - Batch 260 - GPU: 9.61GB
  Epoch 10 - Batch 270 - GPU: 9.61GB
  Epoch 10 - Batch 280 - GPU: 9.61GB
  Epoch 10 - Batch 290 - GPU: 9.61GB
  Epoch 10 - Batch 300 - GPU: 9.61GB
  Epoch 10 - Batch 310 - GPU: 9.61GB
  Epoch 10 - Batch 320 - GPU: 9.61GB
  Epoch 10 - Batch 330 - GPU: 9.61GB
  Epoch 10 - Batch 340 - GPU: 9.61GB
  Epoch 10 - Batch 350 - GPU: 9.61GB
  Epoch 10 - Batch 360 - GPU: 9.61GB
  Epoch 10 - Batch 370 - GPU: 9.61GB
  Epoch 10 - Batch 380 - GPU: 9.61GB
  Epoch 10 - Batch 390 - GPU: 9.61GB
  Epoch 10 - Batch 400 - GPU: 9.61GB
  Epoch 11 - Batch 10 - GPU: 9.61GB
  Epoch 11 - Batch 20 - GPU: 9.61GB
  Epoch 11 - Batch 30 - GPU: 9.61GB
  Epoch 11 - Batch 40 - GPU: 9.61GB
  Epoch 11 - Batch 50 - GPU: 9.61GB
  Epoch 11 - Batch 60 - GPU: 9.61GB
  Epoch 11 - Batch 70 - GPU: 9.61GB
  Epoch 11 - Batch 80 - GPU: 9.61GB
  Epoch 11 - Batch 90 - GPU: 9.61GB
  Epoch 11 - Batch 100 - GPU: 9.61GB
  Epoch 11 - Batch 110 - GPU: 9.61GB
  Epoch 11 - Batch 120 - GPU: 9.61GB
  Epoch 11 - Batch 130 - GPU: 9.61GB
  Epoch 11 - Batch 140 - GPU: 9.61GB
  Epoch 11 - Batch 150 - GPU: 9.61GB
  Epoch 11 - Batch 160 - GPU: 9.61GB
  Epoch 11 - Batch 170 - GPU: 9.61GB
  Epoch 11 - Batch 180 - GPU: 9.61GB
  Epoch 11 - Batch 190 - GPU: 9.61GB
  Epoch 11 - Batch 200 - GPU: 9.61GB
  Epoch 11 - Batch 210 - GPU: 9.61GB
  Epoch 11 - Batch 220 - GPU: 9.61GB
  Epoch 11 - Batch 230 - GPU: 9.61GB
  Epoch 11 - Batch 240 - GPU: 9.61GB
  Epoch 11 - Batch 250 - GPU: 9.61GB
  Epoch 11 - Batch 260 - GPU: 9.61GB
  Epoch 11 - Batch 270 - GPU: 9.61GB
  Epoch 11 - Batch 280 - GPU: 9.61GB
  Epoch 11 - Batch 290 - GPU: 9.61GB
  Epoch 11 - Batch 300 - GPU: 9.61GB
  Epoch 11 - Batch 310 - GPU: 9.61GB
  Epoch 11 - Batch 320 - GPU: 9.61GB
  Epoch 11 - Batch 330 - GPU: 9.61GB
  Epoch 11 - Batch 340 - GPU: 9.61GB
  Epoch 11 - Batch 350 - GPU: 9.61GB
  Epoch 11 - Batch 360 - GPU: 9.61GB
  Epoch 11 - Batch 370 - GPU: 9.61GB
  Epoch 11 - Batch 380 - GPU: 9.61GB
  Epoch 11 - Batch 390 - GPU: 9.61GB
  Epoch 11 - Batch 400 - GPU: 9.61GB
  Epoch 12 - Batch 10 - GPU: 9.61GB
  Epoch 12 - Batch 20 - GPU: 9.61GB
  Epoch 12 - Batch 30 - GPU: 9.61GB
  Epoch 12 - Batch 40 - GPU: 9.61GB
  Epoch 12 - Batch 50 - GPU: 9.61GB
  Epoch 12 - Batch 60 - GPU: 9.61GB
  Epoch 12 - Batch 70 - GPU: 9.61GB
  Epoch 12 - Batch 80 - GPU: 9.61GB
  Epoch 12 - Batch 90 - GPU: 9.61GB
  Epoch 12 - Batch 100 - GPU: 9.61GB
  Epoch 12 - Batch 110 - GPU: 9.61GB
  Epoch 12 - Batch 120 - GPU: 9.61GB
  Epoch 12 - Batch 130 - GPU: 9.61GB
  Epoch 12 - Batch 140 - GPU: 9.61GB
  Epoch 12 - Batch 150 - GPU: 9.61GB
  Epoch 12 - Batch 160 - GPU: 9.61GB
  Epoch 12 - Batch 170 - GPU: 9.61GB
  Epoch 12 - Batch 180 - GPU: 9.61GB
