Job ID : 16875
Node   : ensta-l40s02
GPU    : NVIDIA L40S
Date   : lun. 23 mars 2026 05:36:37 CET
============================================================
QLORA CROSS-ATTENTION ONLY - RANK 16
============================================================

[1/5] Loading quantized model...

[2/5] Configuring QLoRA (rank=16)...
trainable params: 983,040 || all params: 3,876,527,616 || trainable%: 0.0254

[3/5] Loading dataset...
Loaded 800 samples from data/train.json
Loaded 100 samples from data/val.json
  Train: 800 | Val: 100

[4/5] Setting up 8-bit optimizer...

[5/5] Training...
  Epoch 5 - Batch 310 - GPU: 9.61GB
  Epoch 5 - Batch 320 - GPU: 9.61GB
  Epoch 5 - Batch 330 - GPU: 9.61GB
  Epoch 5 - Batch 340 - GPU: 9.61GB
  Epoch 5 - Batch 350 - GPU: 9.61GB
  Epoch 5 - Batch 360 - GPU: 9.61GB
  Epoch 5 - Batch 370 - GPU: 9.61GB
  Epoch 5 - Batch 380 - GPU: 9.61GB
  Epoch 5 - Batch 390 - GPU: 9.61GB
  Epoch 5 - Batch 400 - GPU: 9.61GB
  Epoch 5 - Batch 410 - GPU: 9.61GB
  Epoch 5 - Batch 420 - GPU: 9.61GB
  Epoch 5 - Batch 430 - GPU: 9.61GB
  Epoch 5 - Batch 440 - GPU: 9.61GB
  Epoch 5 - Batch 450 - GPU: 9.61GB
  Epoch 5 - Batch 460 - GPU: 9.61GB
  Epoch 5 - Batch 470 - GPU: 9.61GB
  Epoch 5 - Batch 480 - GPU: 9.61GB
  Epoch 5 - Batch 490 - GPU: 9.61GB
  Epoch 5 - Batch 500 - GPU: 9.61GB
  Epoch 5 - Batch 510 - GPU: 9.61GB
  Epoch 5 - Batch 520 - GPU: 9.61GB
  Epoch 5 - Batch 530 - GPU: 9.61GB
  Epoch 5 - Batch 540 - GPU: 9.61GB
  Epoch 5 - Batch 550 - GPU: 9.61GB
  Epoch 5 - Batch 560 - GPU: 9.61GB
  Epoch 5 - Batch 570 - GPU: 9.61GB
  Epoch 5 - Batch 580 - GPU: 9.61GB
  Epoch 5 - Batch 590 - GPU: 9.61GB
  Epoch 5 - Batch 600 - GPU: 9.61GB
  Epoch 5 - Batch 610 - GPU: 9.61GB
  Epoch 5 - Batch 620 - GPU: 9.61GB
  Epoch 5 - Batch 630 - GPU: 9.61GB
  Epoch 5 - Batch 640 - GPU: 9.61GB
  Epoch 5 - Batch 650 - GPU: 9.61GB
  Epoch 5 - Batch 660 - GPU: 9.61GB
  Epoch 5 - Batch 670 - GPU: 9.61GB
  Epoch 5 - Batch 680 - GPU: 9.61GB
  Epoch 5 - Batch 690 - GPU: 9.61GB
  Epoch 5 - Batch 700 - GPU: 9.61GB
  Epoch 5 - Batch 710 - GPU: 9.61GB
  Epoch 5 - Batch 720 - GPU: 9.61GB
  Epoch 5 - Batch 730 - GPU: 9.61GB
  Epoch 5 - Batch 740 - GPU: 9.61GB
  Epoch 5 - Batch 750 - GPU: 9.61GB
  Epoch 5 - Batch 760 - GPU: 9.61GB
  Epoch 5 - Batch 770 - GPU: 9.61GB
  Epoch 5 - Batch 780 - GPU: 9.61GB
  Epoch 5 - Batch 790 - GPU: 9.61GB
